,year,month,day,hour,PM2.5,temperature,pressure,rain,wind_speed,E,ENE,ESE,N,NE,NNE,NNW,NW,S,SE,SSE,SSW,SW,W,WNW,WSW
2,2013,3.0,1.0,2.0,7.0,-1.1,1023.5,0.0,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2013,3.0,1.0,3.0,6.0,-1.4,1024.5,0.0,3.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2013,3.0,1.0,4.0,3.0,-2.0,1025.2,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,3.0,1.0,6.0,3.0,-2.6,1026.5,0.0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,2013,3.0,1.0,7.0,3.0,-1.6,1027.4,0.0,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,2013,3.0,1.0,8.0,3.0,0.1,1028.3,0.0,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,2013,3.0,1.0,9.0,3.0,1.2,1028.5,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,3.0,1.0,10.0,3.0,1.9,1028.2,0.0,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2013,3.0,1.0,12.0,3.0,3.9,1027.3,0.0,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2013,3.0,1.0,13.0,3.0,5.3,1026.2,0.0,4.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,2013,3.0,1.0,14.0,6.0,6.0,1025.9,0.0,4.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2013,3.0,1.0,15.0,8.0,6.2,1025.7,0.0,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2013,3.0,1.0,16.0,9.0,5.9,1025.6,0.0,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2013,3.0,1.0,17.0,10.0,4.3,1026.3,0.0,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,2013,3.0,1.0,18.0,11.0,3.1,1027.4,0.0,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,2013,3.0,1.0,20.0,11.0,1.7,1029.1,0.0,2.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2013,3.0,1.0,21.0,12.0,0.6,1030.1,0.0,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2013,3.0,1.0,23.0,24.0,-0.2,1030.5,0.0,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2013,3.0,2.0,0.0,22.0,-0.4,1031.0,0.0,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2013,3.0,2.0,1.0,14.0,-1.0,1031.3,0.0,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,2013,3.0,2.0,2.0,13.0,-1.5,1030.9,0.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2013,3.0,2.0,3.0,3.0,-1.4,1030.6,0.0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,2013,3.0,2.0,4.0,3.0,-1.5,1030.8,0.0,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2013,3.0,2.0,5.0,9.0,-1.8,1030.1,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,2013,3.0,2.0,6.0,4.0,-2.5,1029.6,0.0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,2013,3.0,2.0,7.0,3.0,-1.7,1029.8,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,2013,3.0,2.0,8.0,3.0,-0.4,1029.6,0.0,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,2013,3.0,2.0,9.0,10.0,0.6,1029.7,0.0,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2013,3.0,2.0,10.0,11.0,1.7,1028.9,0.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,2013,3.0,2.0,11.0,18.0,2.2,1028.2,0.0,3.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2013,3.0,2.0,12.0,26.0,2.7,1027.3,0.0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2013,3.0,2.0,13.0,25.0,3.3,1025.7,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,2013,3.0,2.0,14.0,26.0,3.8,1024.8,0.0,1.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,2013,3.0,2.0,15.0,37.0,3.9,1024.1,0.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,2013,3.0,2.0,16.0,37.0,3.5,1023.6,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2013,3.0,2.0,17.0,44.0,2.2,1023.4,0.0,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,2013,3.0,2.0,18.0,54.0,1.2,1023.2,0.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,2013,3.0,2.0,19.0,61.0,1.5,1022.9,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,2013,3.0,2.0,20.0,67.0,1.2,1022.9,0.0,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,2013,3.0,2.0,21.0,74.0,0.6,1022.6,0.0,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,2013,3.0,2.0,22.0,81.0,-0.6,1022.3,0.0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,2013,3.0,2.0,23.0,93.0,-0.8,1021.1,0.0,1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,2013,3.0,3.0,0.0,112.0,-1.4,1020.4,0.0,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,2013,3.0,3.0,1.0,109.0,-2.0,1019.4,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,2013,3.0,3.0,2.0,110.0,-2.8,1018.3,0.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,2013,3.0,3.0,3.0,105.0,-2.6,1017.2,0.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,2013,3.0,3.0,4.0,106.0,-4.3,1016.9,0.0,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,2013,3.0,3.0,5.0,101.0,-5.6,1016.3,0.0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,2013,3.0,3.0,6.0,91.0,-5.8,1016.2,0.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,2013,3.0,3.0,7.0,79.0,-3.1,1016.5,0.0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,2013,3.0,3.0,8.0,77.0,0.7,1016.2,0.0,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,2013,3.0,3.0,9.0,83.0,3.5,1015.8,0.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,2013,3.0,3.0,10.0,94.0,6.5,1014.9,0.0,1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,2013,3.0,3.0,11.0,96.0,11.4,1013.8,0.0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2013,3.0,3.0,12.0,91.0,13.8,1012.5,0.0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,2013,3.0,3.0,14.0,72.0,16.7,1010.8,0.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,2013,3.0,3.0,15.0,48.0,16.9,1010.5,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,2013,3.0,3.0,16.0,28.0,16.4,1010.6,0.0,2.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,2013,3.0,3.0,17.0,26.0,13.1,1011.1,0.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,2013,3.0,3.0,18.0,24.0,8.7,1012.3,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
